Report Type,Start Date,End Date,Total Cases,Unique Crime Types,Total Arrests,Total Domestic Cases,Total Violent Cases,Total Property Cases,Unique Beats,Unique Wards,Unique Districts,Arrest Rate,Domestic Rate,Violent Rate,Property Rate,Report Type_prior,Start Date_prior,End Date_prior,Total Cases_prior,Unique Crime Types_prior,Total Arrests_prior,Total Domestic Cases_prior,Total Violent Cases_prior,Total Property Cases_prior,Unique Beats_prior,Unique Wards_prior,Unique Districts_prior,Arrest Rate_prior,Domestic Rate_prior,Violent Rate_prior,Property Rate_prior,Arrest Rate Change,Domestic Rate Change,Violent Rate Change,Property Rate Change,Case Growth %
R12,2006-05-31,2007-05-31,440567,30,134671,69213,59040,107930,297,50,23,30.57,15.71,13.4,24.5,Prior R12,2005-05-31,2006-05-31,179805,30,55494,28176,22969,43768,290,50,23,30.86,15.67,12.77,24.34,-0.28999999999999915,0.040000000000000924,0.6300000000000008,0.16000000000000014,145.02
R12,2006-06-30,2007-06-30,440647,30,134569,69487,59314,107816,298,50,23,30.54,15.77,13.46,24.47,Prior R12,2005-06-30,2006-06-30,218720,30,67063,34394,28227,53457,291,50,23,30.66,15.73,12.91,24.44,-0.120000000000001,0.03999999999999915,0.5500000000000007,0.029999999999997584,101.47
R12,2006-07-31,2007-07-31,440015,30,134623,69484,59159,107586,298,50,23,30.6,15.79,13.44,24.45,Prior R12,2005-07-31,2006-07-31,260336,30,79041,41247,34178,64103,291,50,23,30.36,15.84,13.13,24.62,0.240000000000002,-0.05000000000000071,0.3099999999999987,-0.1700000000000017,69.02
R12,2006-08-31,2007-08-31,439311,30,134238,69736,59334,107219,298,50,23,30.56,15.87,13.51,24.41,Prior R12,2005-08-31,2006-08-31,300809,30,91054,47438,39681,74549,292,50,23,30.27,15.77,13.19,24.78,0.28999999999999915,0.09999999999999964,0.3200000000000003,-0.370000000000001,46.04
R12,2006-09-30,2007-09-30,439870,30,134510,70151,59684,106950,298,50,23,30.58,15.95,13.57,24.31,Prior R12,2005-09-30,2006-09-30,338610,30,102365,53017,44904,84011,292,50,23,30.23,15.66,13.26,24.81,0.34999999999999787,0.28999999999999915,0.3100000000000005,-0.5,29.9
R12,2006-10-31,2007-10-31,440776,30,134054,70443,59826,107368,298,50,23,30.41,15.98,13.57,24.36,Prior R12,2005-10-31,2006-10-31,377025,30,113887,58645,50349,93515,294,50,23,30.21,15.55,13.35,24.8,0.1999999999999993,0.4299999999999997,0.22000000000000064,-0.4400000000000013,16.91
R12,2006-11-30,2007-11-30,439616,30,133048,70446,60209,107307,297,50,23,30.26,16.02,13.7,24.41,Prior R12,2005-11-30,2006-11-30,412988,30,124934,63849,55205,102337,294,50,23,30.25,15.46,13.37,24.78,0.010000000000001563,0.5599999999999987,0.33000000000000007,-0.370000000000001,6.45
R12,2006-12-31,2007-12-31,437125,30,131876,70417,60109,107078,297,50,23,30.17,16.11,13.75,24.5,Prior R12,2005-12-31,2006-12-31,447275,30,135241,69034,60054,110932,295,50,23,30.24,15.43,13.43,24.8,-0.06999999999999673,0.6799999999999997,0.3200000000000003,-0.3000000000000007,-2.27
R12,2007-01-31,2008-01-31,436484,30,129851,70580,60347,107348,296,50,23,29.75,16.17,13.83,24.59,Prior R12,2006-01-31,2007-01-31,445802,30,135139,69007,59672,110195,295,50,23,30.31,15.48,13.39,24.72,-0.5599999999999987,0.6900000000000013,0.4399999999999995,-0.129999999999999,-2.09
R12,2008-03-31,2009-03-31,423124,30,110065,69101,62372,108559,300,50,23,26.01,16.33,14.74,25.66,Prior R12,2007-03-31,2008-03-31,436037,30,126434,70866,60824,108054,300,50,23,29.0,16.25,13.95,24.78,-2.9899999999999984,0.0799999999999983,0.7900000000000009,0.879999999999999,-2.96
